,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,1836.137,1752.105,1501.444,1613.936,1529.681,1471.062,1503.011,1588.789,1664.516,1676.285,1701.71,1783.103,1855.009,1992.394,2104.139,2347.434,2282.496,1949.688,2146.697,2100.674,2041.284,1965.173,2018.84,2098.054,2211.64,2224.572,2190.427,2110.822,2037.373,2174.285,2191.561,2177.534,2262.844,2338.456,2220.311,2283.174,2453.96,2526.951,2369.441,2292.668,2245.34,2107.747,2127.967,2089.945,2064.191,2050.59,1891.895,1549.135
1,98.201,13.591,4081.457,835.732,12802.61,19237.311,21751.567,26215.998,626.09,74.971,78.987,0.818,0.437,0.012,0.001,0.0,0.0,0.599,0.017,0.0,0.11,3.711,0.825,0.001,0.0,0.0,0.002,0.128,2.225,0.003,0.004,0.014,0.0,0.0,0.083,0.011,0.0,0.0,0.0,0.002,0.0,0.143,0.027,0.038,0.018,0.091,1.984,10888.671
2,588.91,8831.898,29747.829,38417.623,21.297,1.776,0.605,0.008,3441.397,6018.722,8987.065,377.016,16.974,0.298,0.017,0.0,0.0,0.911,0.034,0.013,0.189,6.866,1.055,0.052,0.0,0.001,0.021,0.176,3.098,0.017,0.016,0.091,0.0,0.0,0.123,0.041,0.0,0.0,0.0,0.002,0.001,0.241,0.045,0.039,0.026,0.042,158.872,93.083
3,676.157,691.221,9.003,0.282,375.014,1.158,0.332,0.043,26933.436,29511.338,5934.291,26394.887,3944.856,48.286,4.161,0.0,0.0,6.87,0.06,0.04,0.411,3.919,0.604,0.208,0.0,0.001,0.012,0.929,6.377,0.032,0.019,0.108,0.0,0.0,0.177,0.025,0.0,0.0,0.0,0.002,0.01,1.13,0.105,0.07,0.652,6.915,1427.922,735.427
4,19909.237,17042.511,531.089,0.025,3281.328,22.915,0.687,0.0,0.001,0.024,2.045,0.013,5272.9,131.4,0.733,0.0,0.005,9998.174,0.932,14.618,116.158,177.114,127.374,0.756,0.002,0.021,0.012,0.895,12.787,0.066,0.016,0.198,0.013,0.003,0.319,0.074,0.0,0.0,0.0,0.004,0.001,1.122,0.189,1.469,80.323,281.543,22060.363,17647.031
5,0.218,0.916,3.236,0.305,5329.937,661.153,23.54,0.0,0.023,0.022,9373.615,2.956,11291.707,26165.17,318.692,0.001,0.002,0.55,1.075,141.148,3877.202,25810.779,13126.002,233.408,0.149,0.005,0.032,3.495,68.406,0.349,0.065,0.776,0.027,0.002,0.167,0.05,0.0,0.0,0.0,0.017,0.011,3.134,2.32,14.636,150.464,110.623,0.091,0.014
6,6.367,40.554,199.501,5.875,24897.449,29929.422,2956.593,0.004,0.089,0.038,318.498,0.873,0.412,0.01,1.18,0.006,0.009,10.395,35.497,124.248,373.859,0.124,0.433,287.497,0.891,0.045,6.056,2646.024,24568.32,5.722,0.446,0.671,0.007,0.008,0.497,0.121,0.0,0.0,0.0,0.053,0.007,33.545,349.349,4174.052,3621.988,2113.057,0.359,6.339
7,10.849,3.65,10.177,0.014,0.026,0.129,2.173,0.014,0.108,0.031,5468.027,6.449,0.591,0.111,4288.661,0.003,0.177,144.773,2216.774,16987.558,17096.755,0.02,15.365,7579.34,19.388,1.052,0.983,2.814,0.032,0.396,1.185,1.863,0.01,0.01,1.621,0.15,0.0,0.0,0.0,0.028,0.783,8414.717,703.907,2038.599,17804.724,13888.154,0.003,4.296
8,3.605,8.519,80.053,0.031,0.025,0.089,23.022,0.014,0.225,0.143,28.745,8.815,16.119,0.04,25.878,0.003,12.661,20728.718,5973.381,0.125,0.021,0.045,98.448,99.096,228.727,2381.13,10752.166,25223.307,2.236,590.885,629.313,635.615,1.249,0.029,1.304,0.106,0.0,0.0,0.016,0.028,119.724,1278.967,20010.766,7750.052,0.126,0.79,0.032,2.101
9,42.264,139.166,384.294,0.438,0.192,0.081,83.782,0.027,158.805,108.918,26332.879,14004.737,28495.513,0.133,195.317,0.053,0.061,0.233,1.03,0.016,0.021,0.038,4126.24,3784.238,21.618,0.98,0.041,0.055,152.469,3830.943,7427.748,6600.476,141.448,0.013,1.698,0.282,0.0,0.0,0.005,0.271,3.701,1.931,2.598,459.461,0.017,0.16,0.048,212.051
10,405.535,10100.43,26638.511,0.943,0.165,0.09,147.417,0.058,212.342,24.586,3.275,0.253,0.154,2.178,20759.649,2.097,0.094,2.173,171.701,0.018,0.796,197.107,8900.477,14345.896,11955.284,228.355,20.32,0.015,115.535,574.156,218.651,407.92,74.321,0.015,220.088,0.53,0.0,0.0,0.005,0.413,137.05,447.371,0.668,124.943,0.017,0.16,0.048,274.68
11,8214.198,576.697,18.959,0.342,8.313,1573.051,27570.022,0.031,1111.16,198.046,45.937,0.853,0.693,0.283,1.061,0.009,0.819,2.103,1242.702,1.006,0.084,1.365,2.061,0.062,1.641,1.106,1.126,0.021,257.922,16296.936,16557.03,10390.925,186.8,0.165,1189.286,73.081,0.0,0.0,0.033,0.452,24.301,808.486,1.914,447.443,0.225,0.222,0.018,9907.5
12,20.587,9.522,0.206,0.117,2.089,0.104,0.046,0.018,11687.595,3582.69,129.423,15.166,2.875,0.156,1.264,0.007,92.512,3640.762,12436.584,0.215,0.819,1.115,2.966,37.264,1754.735,11799.471,1830.833,0.026,1.133,1.343,0.127,1.31,1.041,0.114,11965.71,3751.731,0.0,0.0,0.02,29.129,1872.609,12719.471,8947.334,10326.685,3.074,17.161,0.099,29.232
13,155.887,178.026,120.617,44.051,8824.692,105.532,0.07,0.007,54.13,60.993,39.048,26.602,32.613,36.892,34.449,0.009,4.012,0.186,48.355,194.734,1657.244,7967.145,24512.411,6597.275,2352.947,0.363,5.006,47.731,23725.651,10000.682,32.525,18.917,19.533,0.371,22.879,24.655,0.003,0.0,0.021,101.079,118.422,78.572,0.042,1.498,101.018,9298.854,10.471,60.27
14,4701.898,2899.039,1499.238,959.088,987.478,932.375,0.029,0.006,697.443,688.445,650.542,603.598,675.316,950.6,960.332,0.089,430.446,0.149,905.755,867.438,706.215,739.388,1004.154,1315.575,1409.301,0.046,372.664,0.17,814.74,840.204,0.381,669.545,739.45,1.066,893.765,1369.613,0.002,0.0,0.076,14345.606,40074.15,6606.82,0.111,2001.093,1693.451,959.061,0.07,750.469
15,1856.837,1755.165,1520.901,1712.699,2083.18,2398.81,0.035,0.004,2431.283,2215.425,1876.064,1810.787,2004.455,2532.862,2676.77,0.049,2557.881,2525.701,2349.276,2163.762,2127.502,2185.242,2969.1,4281.668,4656.982,0.086,1373.128,0.187,2911.165,2913.464,0.472,2604.624,2648.219,0.59,3032.925,4356.737,0.003,0.0,0.02,4993.367,4551.62,3219.888,0.02,2744.772,2790.081,2331.848,1978.111,1572.723
