,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,1969.812,1831.635,1588.846,1660.701,1632.758,1583.864,1503.917,1520.023,1640.932,1645.468,1715.551,1775.472,1959.351,2164.275,2117.708,2272.733,2289.683,2308.979,2068.215,2134.65,1968.951,2111.087,2225.921,2194.549,2177.39,2135.997,2214.405,2227.066,2146.36,2153.866,2169.017,1983.855,1999.418,2121.6,2383.059,2476.025,2395.595,2344.103,2242.013,2185.99,2131.194,2018.01,2037.166,2146.178,2077.789,2050.96,1936.125,1832.603
1,91.447,460.002,2587.974,1879.448,1549.218,1537.855,9280.446,14167.431,6168.699,8611.185,2523.345,5411.611,600.149,143.935,204.759,88.812,83.915,106.772,343.53,201.991,5087.475,846.067,113.089,116.574,184.672,245.758,102.505,88.187,199.48,127.015,184.786,6102.014,6576.876,569.763,53.055,59.536,110.747,109.51,177.855,155.4,181.594,2180.055,1066.19,100.003,312.286,1787.655,6989.652,7600.542
2,221.365,1066.799,4031.427,5877.437,12104.866,16925.953,482.449,104.812,733.719,643.573,8784.246,2477.81,1930.635,237.503,395.86,108.877,86.512,86.623,2945.875,1138.046,142.149,1072.807,177.993,374.673,730.316,2445.268,157.744,166.602,3491.343,1383.547,708.949,63.536,207.505,3020.496,68.685,74.131,72.187,74.235,129.11,580.001,1985.861,2911.735,7880.327,1779.407,5393.659,1757.373,132.456,104.383
3,870.358,4653.648,10852.771,14101.313,269.809,124.392,1304.8,109.513,9081.89,2490.132,1070.29,2425.176,4315.502,490.742,2427.714,198.065,121.857,99.13,1007.058,1080.411,307.474,1306.563,336.658,1864.492,1902.875,395.219,1939.614,419.964,481.234,3201.177,4693.835,124.176,125.665,1052.774,115.085,87.753,108.787,98.786,593.6,5763.697,4412.471,3252.592,76.389,2046.802,1550.94,3170.507,323.921,623.244
4,7455.685,14642.784,3551.303,326.395,496.707,467.072,7102.464,570.034,650.228,929.018,1065.631,1954.442,4110.067,5820.334,832.942,139.284,178.674,144.992,2559.17,2477.472,554.53,3597.701,926.488,678.16,923.87,1489.501,2975.666,4541.612,262.808,412.917,771.687,1063.765,391.735,1506.235,115.028,54.987,127.437,967.584,5756.296,585.649,776.801,542.118,67.694,4452.231,2249.838,3570.914,1497.686,1135.229
5,1209.259,955.383,923.067,153.354,3699.826,1745.014,4663.559,775.407,1702.589,2401.05,3647.057,8231.698,9907.436,276.813,4272.525,557.398,281.915,125.331,2429.679,4303.545,5690.201,419.183,556.981,845.469,1286.591,1776.118,216.697,296.369,2996.121,3899.71,419.011,551.146,1691.836,5887.343,231.008,63.401,113.133,228.409,1764.58,1601.269,1311.854,1097.37,918.876,793.154,624.122,1123.921,3793.809,5011.278
6,5197.993,5453.846,3163.064,211.472,1792.56,810.895,4171.185,856.966,2498.445,6832.343,9726.415,198.457,241.689,444.013,2475.012,742.203,672.083,936.149,914.615,827.65,622.503,1130.306,6936.068,1754.967,729.234,919.017,1245.213,1771.94,3025.153,3543.09,382.006,4147.24,1081.868,782.167,207.133,68.606,261.938,1656.594,1104.03,698.882,1582.092,7364.576,1482.404,603.503,722.51,992.628,2073.515,2414.627
7,1300.028,1045.403,1009.038,174.074,7692.112,2637.456,1681.437,771.747,8098.192,11357.825,1591.561,246.324,278.865,2302.044,2893.727,455.193,459.669,776.613,5081.231,1297.65,660.569,928.487,1193.671,1392.249,1481.19,1531.517,2133.915,3537.92,4026.354,389.126,4122.421,773.467,569.972,1084.223,1533.62,95.599,172.552,1893.662,1543.824,1094.093,801.08,633.581,1747.758,7423.377,1477.163,831.878,1468.579,1778.829
8,1241.459,2307.51,6395.598,250.534,1253.582,811.661,6238.66,8783.44,1130.291,741.769,1276.412,302.007,421.474,622.821,3810.327,1080.605,749.463,964.849,836.765,609.6,810.019,3291.554,604.945,4771.875,8142.269,10654.27,680.086,736.936,218.26,254.264,2407.066,3748.191,397.028,553.249,999.409,101.015,193.327,1134.257,797.148,1258.286,6837.096,1441.026,623.265,676.544,822.556,999.798,2059.24,2429.059
9,3112.592,2787.372,2392.953,212.125,3229.461,2576.351,8134.834,2938.11,896.773,1193.581,1643.897,283.527,301.424,4243.901,5359.015,604.695,575.727,815.217,799.965,697.67,1261.638,8092.069,2107.096,852.575,934.7,1300.127,1787.475,1770.236,230.048,2518.301,4870.359,6851.095,334.242,533.105,779.218,94.123,1216.012,1379.19,1280.648,1227.19,1142.394,959.562,725.438,554.13,1581.787,6764.004,2040.986,1483.927
