repeat,no_households,algorithm,Average run_time,No_iterations,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,20,optimal,1.956,9,5,0,piece-wise,26006,254167.0,-877.30%,2.81,27.48,-877.90%,7376973.4,6214642.0,15.80%,7376973.4,6214642.0,15.80%
0,20,optimal_fw,0.001,9,5,0,piece-wise,26006,19979.988144356925,23.20%,2.81,2.16,23.10%,7376973.4,6274501.75,14.90%,7376973.4,6274501.75,14.90%
0,20,heuristic,0.0,5,5,0,piece-wise,26006,54022.0,-107.70%,2.81,5.84,-107.80%,7376973.4,6214642.0,15.80%,7376973.4,6214642.0,15.80%
0,20,heuristic_fw,0.002,5,5,0,piece-wise,26006,15028.693586859501,42.20%,2.81,1.63,42.00%,7376973.4,6215302.21,15.70%,7376973.4,6215302.21,15.70%
1,20,optimal,2.019,7,5,0,piece-wise,42670,156053.0,-265.70%,4.25,15.53,-265.40%,7490239.6,6758220.0,9.80%,7490239.6,6758220.0,9.80%
1,20,optimal_fw,0.001,7,5,0,piece-wise,42670,31727.387909382418,25.60%,4.25,3.16,25.60%,7490239.6,6785473.59,9.40%,7490239.6,6785473.59,9.40%
1,20,heuristic,0.0,3,5,0,piece-wise,42670,24240.0,43.20%,4.25,2.41,43.30%,7490239.6,6751220.0,9.90%,7490239.6,6751220.0,9.90%
1,20,heuristic_fw,0.002,3,5,0,piece-wise,42670,23908.72909699373,44.00%,4.25,2.38,44.00%,7490239.6,6751984.78,9.90%,7490239.6,6751984.78,9.90%
0,40,optimal,3.71,7,5,0,piece-wise,45950,421520.0,-817.30%,3.14,28.8,-817.20%,10649899.9,9843956.0,7.60%,10649899.9,9843956.0,7.60%
0,40,optimal_fw,0.001,7,5,0,piece-wise,45950,38373.0058592667,16.50%,3.14,2.62,16.60%,10649899.9,9930661.1,6.80%,10649899.9,9930661.1,6.80%
0,40,heuristic,0.001,4,5,0,piece-wise,45950,34300.0,25.40%,3.14,2.34,25.50%,10649899.9,9837156.0,7.60%,10649899.9,9837156.0,7.60%
0,40,heuristic_fw,0.001,4,5,0,piece-wise,45950,24803.384899091245,46.00%,3.14,1.69,46.20%,10649899.9,9837387.02,7.60%,10649899.9,9837387.02,7.60%
1,40,optimal,3.78,10,5,0,piece-wise,49919,368879.0,-639.00%,2.83,20.93,-639.60%,13759386.0,11844530.0,13.90%,13759386.0,11844530.0,13.90%
1,40,optimal_fw,0.001,10,5,0,piece-wise,49919,36652.104154566914,26.60%,2.83,2.08,26.50%,13759386.0,11905333.19,13.50%,13759386.0,11905333.19,13.50%
1,40,heuristic,0.001,6,5,0,piece-wise,49919,43432.0,13.00%,2.83,2.46,13.10%,13759386.0,11841130.0,13.90%,13759386.0,11841130.0,13.90%
1,40,heuristic_fw,0.002,6,5,0,piece-wise,49919,26373.566325968124,47.20%,2.83,1.5,47.00%,13759386.0,11841334.96,13.90%,13759386.0,11841334.96,13.90%
0,60,optimal,5.308,5,5,0,piece-wise,47011,623719.0,-1226.80%,2.06,27.27,-1223.80%,16559956.7,15400352.0,7.00%,16559956.7,15400352.0,7.00%
0,60,optimal_fw,0.001,5,5,0,piece-wise,47011,42000.126331094645,10.70%,2.06,1.84,10.70%,16559956.7,15693790.38,5.20%,16559956.7,15693790.38,5.20%
0,60,heuristic,0.005,10,5,0,piece-wise,47011,55403.0,-17.90%,2.06,2.42,-17.50%,16559956.7,15370852.0,7.20%,16559956.7,15370852.0,7.20%
0,60,heuristic_fw,0.001,10,5,0,piece-wise,47011,29464.774840012353,37.30%,2.06,1.29,37.40%,16559956.7,15394859.57,7.00%,16559956.7,15394859.57,7.00%
1,60,optimal,5.115,14,5,0,piece-wise,45003,525137.0,-1066.90%,1.96,22.82,-1064.30%,18388293.8,15557828.0,15.40%,18388293.8,15557828.0,15.40%
1,60,optimal_fw,0.001,14,5,0,piece-wise,45003,32292.391954808383,28.20%,1.96,1.4,28.60%,18388293.8,15585695.56,15.20%,18388293.8,15585695.56,15.20%
1,60,heuristic,0.001,4,5,0,piece-wise,45003,76621.0,-70.30%,1.96,3.33,-69.90%,18388293.8,15465660.0,15.90%,18388293.8,15465660.0,15.90%
1,60,heuristic_fw,0.002,4,5,0,piece-wise,45003,28656.96074188922,36.30%,1.96,1.25,36.20%,18388293.8,15501459.67,15.70%,18388293.8,15501459.67,15.70%
