,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,14.8,36.3,22.1,18.9,115.5,14.8,14.0,14.4,14.0,14.0,14.0,14.0,14.2,17.8,14.5,14.0,14.3,61.6,230.4,17.0,24.5,14.2,14.0,14.5,14.5,14.0,17.8,22.1,230.4,75.2,15.8,14.8,230.4,144.6,14.5,14.2,14.2,50.9,18.9,15.1,14.0,14.0,17.0,14.0,18.9,17.8,14.0,14.0
1,14.6,17.0,15.4,14.8,24.5,92.8,14.8,14.6,14.0,14.0,14.0,14.0,14.4,14.8,14.8,14.6,18.9,20.3,75.2,14.6,15.8,17.0,14.1,15.4,17.8,17.0,14.8,15.4,115.5,22.1,14.8,24.5,50.9,31.3,17.8,17.8,17.0,18.9,14.8,14.5,14.5,14.4,14.6,14.0,14.8,14.8,14.8,14.0
2,14.4,15.4,14.8,15.8,18.9,42.7,17.8,15.4,14.0,14.0,14.0,14.0,14.4,15.1,15.8,17.0,15.8,17.0,36.3,15.4,15.4,15.1,14.4,14.8,15.8,15.4,17.0,15.8,50.9,17.0,17.8,17.8,31.3,20.3,15.8,15.8,15.4,16.3,36.3,17.8,14.8,14.3,14.6,14.0,15.1,15.1,14.8,14.0
3,14.3,15.4,17.0,15.4,17.0,31.3,17.0,14.8,14.0,14.0,14.0,14.0,14.8,14.8,15.4,15.8,15.8,15.8,24.5,15.4,15.1,14.8,17.0,20.3,15.4,14.8,15.8,15.8,31.3,16.3,17.0,17.0,22.1,17.8,15.8,15.8,14.8,15.4,27.5,16.3,20.3,14.8,15.1,14.2,14.6,14.8,15.4,14.0
4,14.4,15.1,15.8,14.8,15.8,22.1,15.8,17.8,14.0,14.1,14.0,14.0,15.8,17.0,15.1,15.1,15.1,15.4,22.1,14.8,15.1,15.8,15.8,17.8,15.1,17.8,16.3,15.8,24.5,15.8,15.8,15.8,20.3,16.3,15.4,15.4,17.8,15.4,22.1,15.4,17.0,15.1,14.8,14.6,17.0,15.4,14.8,14.0
5,14.3,14.8,15.4,15.8,15.8,20.3,15.4,17.0,14.0,14.3,14.3,14.0,15.4,15.8,14.8,14.8,14.8,15.1,18.9,17.0,15.1,15.4,15.4,17.0,15.1,17.0,15.8,15.8,22.1,15.8,15.8,16.3,17.8,15.8,15.4,15.4,17.0,14.8,20.3,15.4,16.3,14.8,17.8,15.8,15.8,15.1,15.4,14.0
6,14.4,15.4,15.4,15.8,15.4,18.9,14.8,16.3,14.0,14.4,14.3,14.0,15.1,15.8,15.1,15.8,17.0,14.8,17.8,17.0,15.1,15.4,15.4,16.3,14.8,16.3,15.8,15.8,20.3,15.8,15.8,15.8,17.0,15.8,15.4,15.4,17.0,15.8,17.8,14.8,16.3,15.1,17.0,15.4,15.8,15.1,15.4,14.0
7,14.4,15.4,15.1,15.4,15.1,17.8,15.1,15.4,14.0,14.6,14.6,14.0,14.8,15.4,14.8,15.4,16.3,15.4,17.0,15.8,15.1,15.4,15.1,15.8,16.3,15.8,15.8,15.8,17.8,15.8,15.8,15.8,16.3,15.8,15.4,15.1,15.8,15.4,17.0,17.0,16.3,14.8,16.3,15.1,15.4,15.1,15.8,14.0
8,14.5,15.4,15.1,15.4,15.1,17.0,14.8,15.4,14.2,14.6,14.8,14.0,15.4,15.1,15.1,15.4,15.8,15.1,17.0,15.8,15.1,15.4,14.8,15.8,15.8,15.8,15.8,15.8,17.8,16.3,15.8,15.8,15.8,15.8,15.4,15.1,15.8,15.4,17.0,17.0,16.3,15.4,15.8,15.1,15.4,15.1,15.8,14.0
9,14.5,15.4,14.8,15.4,15.1,17.0,15.1,15.4,14.2,14.8,15.1,14.0,15.4,15.1,14.8,15.4,15.8,15.1,16.3,15.8,15.1,15.4,15.8,15.8,15.8,15.8,15.8,15.8,17.0,15.8,15.8,15.8,15.8,15.8,15.4,15.1,15.8,15.4,16.3,16.3,15.8,15.4,15.8,15.1,15.4,15.1,16.3,14.0
10,14.5,15.1,15.4,15.1,14.8,17.0,14.8,15.4,14.3,15.1,15.1,14.0,15.1,15.1,15.4,15.4,15.8,15.1,15.8,15.8,15.1,15.1,15.4,15.8,15.8,15.4,15.8,15.8,17.0,15.8,15.8,15.8,15.8,15.8,15.4,15.1,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.1,15.4,14.8,16.3,14.0
11,14.5,15.1,15.4,15.1,14.8,17.0,14.8,15.4,14.3,15.1,15.1,14.0,15.1,15.1,15.4,15.4,15.8,15.1,15.8,15.8,15.1,15.1,15.4,15.8,15.8,15.4,15.8,15.8,17.0,15.8,15.8,15.8,15.8,15.8,15.4,15.1,15.8,15.4,15.8,15.8,15.8,15.4,15.8,15.1,15.4,14.8,16.3,14.0
