,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,92.8,15.4,14.0,14.3,14.6,36.3,15.4,14.0,14.0,14.4,14.0,14.1,14.0,14.2,27.5,22.1,36.3,61.6,14.3,14.0,14.4,14.2,14.0,14.0,14.0,14.0,14.2,61.6,144.6,230.4,230.4,230.4,14.0,15.1,92.8,75.2,31.3,16.3,18.9,14.4,15.8,230.4,22.1,14.3,20.3,15.8,14.6,17.0
1,14.0,14.0,230.4,230.4,230.4,14.0,14.0,24.5,14.0,14.5,14.0,14.3,14.4,230.4,14.0,14.0,14.0,14.0,230.4,230.4,15.1,14.2,14.0,14.0,182.1,230.4,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,15.8,14.0,230.4,230.4,14.0
2,14.0,230.4,75.2,14.0,14.0,14.0,230.4,115.5,14.0,14.4,14.0,50.9,230.4,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.8,14.0,50.9,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0
3,14.0,50.9,14.5,36.3,14.0,14.0,230.4,42.7,14.0,14.4,14.0,14.3,14.8,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4,230.4,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,15.1,14.0,15.4,230.4,230.4
4,14.0,42.7,14.2,115.5,230.4,14.0,14.0,36.3,14.0,14.5,14.0,182.1,230.4,14.0,14.0,14.0,14.0,14.0,230.4,14.0,14.0,230.4,230.4,14.0,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,14.0,230.4,230.4,230.4,14.0,14.0,14.0,14.4,230.4,14.0,14.0
5,14.0,14.0,230.4,14.0,14.0,14.0,230.4,230.4,14.0,14.4,14.0,22.1,75.2,14.0,14.0,230.4,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,24.5,14.0,14.0,230.4,230.4
6,14.0,36.3,14.2,115.5,230.4,14.0,14.0,31.3,14.0,14.5,14.0,14.1,17.8,230.4,230.4,14.0,14.0,14.0,14.2,14.0,14.0,14.0,31.3,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.6,31.3
7,14.0,36.3,17.8,230.4,14.0,14.0,14.0,230.4,14.0,15.1,20.3,230.4,230.4,14.0,14.0,230.4,230.4,14.0,15.4,14.0,14.0,14.0,14.0,14.0,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,14.8,14.0,14.0,14.0,14.0,14.0,14.0,230.4,17.0,14.0,27.5,230.4,230.4
8,14.0,14.0,15.4,14.0,230.4,230.4,15.8,14.0,14.0,14.4,17.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4,17.0,144.6
9,14.0,31.3,14.0,14.5,14.6,36.3,15.4,14.0,14.5,230.4,230.4,14.0,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,17.8,14.0,14.0,14.0,14.3,14.0,14.0,14.0,14.0,14.0,14.6,230.4,14.0,14.0,14.0,14.0,230.4,14.0,14.0,14.0,14.0,14.0,230.4,230.4
10,14.0,31.3,14.0,20.3,20.3,14.0,24.5,17.0,14.0,50.9,230.4,230.4,14.0,14.0,14.0,14.0,14.0,17.0,75.2,14.0,14.0,230.4,14.0,14.0,14.0,14.0,14.0,230.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,230.4,144.6,230.4,230.4,14.0,14.0
11,14.0,14.0,230.4,22.1,15.1,36.3,15.4,14.0,14.1,230.4,230.4,14.0,14.0,230.4,15.8,14.0,14.0,16.3,36.3,14.0,14.0,14.0,230.4,14.0,14.0,14.0,14.0,144.6,14.0,14.0,14.0,14.0,230.4,14.0,14.0,14.0,230.4,14.0,14.0,15.8,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.8
12,14.0,14.8,14.0,14.3,14.6,36.3,22.1,230.4,230.4,14.0,14.0,14.0,230.4,14.2,14.0,14.0,14.0,14.0,14.0,14.3,230.4,230.4,14.0,14.0,230.4,14.0,14.0,14.0,14.0,14.0,14.0,75.2,14.0,14.0,14.0,14.0,14.0,14.0,230.4,230.4,14.0,14.0,14.0,14.0,14.6,14.0,230.4,230.4
