no_households,no_tasks,algorithm,penalty_weight,cost_function_type,repeat,average_run_time_per_iteration,no_iterations,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
10,5,heuristic,0,piece-wise,0,0.007,3,25559,19116.0,0.252,5.96,4.46,0.252,3479743.4,2890992.8,0.169,3479743.4,2890992.8,0.169
10,5,heuristic,1,piece-wise,0,0.004,4,14200,14400.0,-0.014,3.51,3.56,-0.014,3017008.8,3317678.6,-0.1,3017008.8,3317645.6,-0.1
10,5,heuristic,10,piece-wise,0,0.007,2,23070,23070.0,0.0,4.55,4.55,0.0,3934481.2,3934511.2,0.0,3934481.2,3934481.2,0.0
10,5,heuristic,100,piece-wise,0,0.006,6,20120,20120.0,0.0,5.4,5.4,0.0,2951011.4,3025806.8,-0.025,2951011.4,3020306.8,-0.023
10,5,heuristic,1000,piece-wise,0,0.006,3,12075,12075.0,0.0,3.96,3.96,0.0,2385679.6,2288010.2,0.041,2385679.6,2277010.2,0.046
10,5,heuristic_fw,0,piece-wise,0,0.006,3,25559,13296.315730853627,0.48,5.96,3.1,0.48,3479743.4,2880781.65,0.172,3479743.4,2880781.65,0.172
10,5,heuristic_fw,1,piece-wise,0,0.007,4,14200,9914.531721124455,0.302,3.51,2.45,0.302,3017008.8,2724640.809314924,0.097,3017008.8,2724640.73,0.097
10,5,heuristic_fw,10,piece-wise,0,0.008,2,23070,14495.276491825347,0.372,4.55,2.86,0.371,3934481.2,3408689.73,0.134,3934481.2,3407221.23,0.134
10,5,heuristic_fw,100,piece-wise,0,0.004,6,20120,12920.902167272072,0.358,5.4,3.47,0.357,2951011.4,2509749.4735999648,0.15,2951011.4,2509739.35,0.15
10,5,heuristic_fw,1000,piece-wise,0,0.005,3,12075,8295.758849723192,0.313,3.96,2.72,0.313,2385679.6,2062842.99,0.135,2385679.6,2058045.89,0.137
