,repeat,algorithm,average_run_time_per_iteration,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,4.157,9,10,5,0,piece-wise,12068,63543.0,-4.265,3.04,16.01,-4.266,3144619.9,27418664.6,-7.719,3144619.9,27418664.6,-7.719
1,0,optimal_fw,0.015,9,10,5,0,piece-wise,12068,8183.0030622300865,0.322,3.04,2.06,0.322,3144619.9,2674629.28,0.149,3144619.9,2674629.28,0.149
2,0,heuristic,0.01,5,10,5,0,piece-wise,12068,21450.0,-0.777,3.04,5.4,-0.776,3144619.9,8029740.6,-1.553,3144619.9,8029740.6,-1.553
3,0,heuristic_fw,0.03,5,10,5,0,piece-wise,12068,7043.626369975243,0.416,3.04,1.77,0.418,3144619.9,2668153.18,0.152,3144619.9,2668153.18,0.152
4,1,optimal,3.982,5,10,5,0,piece-wise,21800,55470.0,-1.544,5.1,12.97,-1.543,3291625.5,23710459.2,-6.203,3291625.5,23710459.2,-6.203
5,1,optimal_fw,0.011,5,10,5,0,piece-wise,21800,13407.343166056075,0.385,5.1,3.13,0.386,3291625.5,2877147.52,0.126,3291625.5,2877147.52,0.126
6,1,heuristic,0.01,3,10,5,0,piece-wise,21800,22431.0,-0.029,5.1,5.24,-0.027,3291625.5,3505770.1,-0.065,3291625.5,3505770.1,-0.065
7,1,heuristic_fw,0.012,3,10,5,0,piece-wise,21800,11097.84756075188,0.491,5.1,2.59,0.492,3291625.5,2874704.01,0.127,3291625.5,2874704.01,0.127
8,0,optimal,8.349,7,10,5,1,piece-wise,19920,24000.0,-0.205,4.73,5.7,-0.205,3185973.8,4395547.8,-0.38,3185973.8,4395523.8,-0.38
9,0,optimal_fw,0.01,7,10,5,1,piece-wise,19920,12745.118251918255,0.36,4.73,3.03,0.359,3185973.8,2832321.3298388855,0.111,3185973.8,2832321.32,0.111
10,0,heuristic,0.01,7,10,5,1,piece-wise,19920,19920.0,0.0,4.73,4.73,0.0,3185973.8,3187683.8,-0.001,3185973.8,3187661.8,-0.001
11,0,heuristic_fw,0.01,7,10,5,1,piece-wise,19920,12225.762666047525,0.386,4.73,2.9,0.387,3185973.8,2831810.0713293804,0.111,3185973.8,2831806.09,0.111
12,1,optimal,6.673,3,10,5,1,piece-wise,17000,28200.0,-0.659,5.84,9.69,-0.659,2257646.0,4680547.0,-1.073,2257646.0,4680486.0,-1.073
13,1,optimal_fw,0.012,3,10,5,1,piece-wise,17000,10791.20287598609,0.365,5.84,3.71,0.365,2257646.0,1959265.486768,0.132,2257646.0,1959260.35,0.132
14,1,heuristic,0.013,4,10,5,1,piece-wise,17000,17000.0,0.0,5.84,5.84,0.0,2257646.0,2257661.0,-0.0,2257646.0,2257646.0,0.0
15,1,heuristic_fw,0.01,4,10,5,1,piece-wise,17000,10694.715318602019,0.371,5.84,3.67,0.372,2257646.0,1959343.844235576,0.132,2257646.0,1959343.73,0.132
16,0,optimal,3.39,3,10,5,5,piece-wise,15008,15008.0,0.0,4.24,4.24,0.0,2896739.1,2896739.1,0.0,2896739.1,2896739.1,0.0
17,0,optimal_fw,0.01,3,10,5,5,piece-wise,15008,9081.029650694585,0.395,4.24,2.57,0.394,2896739.1,2379922.73752,0.178,2896739.1,2380017.19,0.178
18,0,heuristic,0.01,3,10,5,5,piece-wise,15008,15008.0,0.0,4.24,4.24,0.0,2896739.1,2896799.1,-0.0,2896739.1,2896739.1,0.0
19,0,heuristic_fw,0.014,3,10,5,5,piece-wise,15008,9108.436347817793,0.393,4.24,2.57,0.394,2896739.1,2379960.235725,0.178,2896739.1,2380092.93,0.178
20,1,optimal,3.393,3,10,5,5,piece-wise,10216,10216.0,0.0,4.0,4.0,0.0,1906355.4,1906355.4,0.0,1906355.4,1906355.4,0.0
21,1,optimal_fw,0.006,3,10,5,5,piece-wise,10216,6161.651362290846,0.397,4.0,2.41,0.397,1906355.4,1718948.894,0.098,1906355.4,1718960.09,0.098
22,1,heuristic,0.006,3,10,5,5,piece-wise,10216,10216.0,0.0,4.0,4.0,0.0,1906355.4,1906395.4,-0.0,1906355.4,1906355.4,0.0
23,1,heuristic_fw,0.006,3,10,5,5,piece-wise,10216,6161.651362290846,0.397,4.0,2.41,0.397,1906355.4,1718952.4100000001,0.098,1906355.4,1718960.09,0.098
24,0,optimal,3.15,3,10,5,10,piece-wise,14460,14460.0,0.0,5.28,5.28,0.0,2080672.0,2080672.0,0.0,2080672.0,2080672.0,0.0
