,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,189.723,157.947,189.453,162.568,146.539,128.51,128.504,180.484,166.097,175.013,134.739,196.331,187.433,188.616,230.67,269.189,240.675,195.741,230.25,230.154,185.525,175.457,196.729,196.486,238.417,240.739,230.301,237.971,221.122,267.295,225.23,230.008,281.347,217.203,301.16,281.897,234.398,242.149,356.793,357.35,240.995,191.585,208.781,234.3,206.883,161.656,129.053,127.243
1,35.848,101.068,226.519,215.166,166.245,175.012,199.333,251.864,347.792,452.838,424.134,479.249,445.99,269.134,35.74,22.815,28.45,177.983,6.853,10.981,500.826,866.482,786.035,560.893,47.761,55.846,37.533,88.066,325.064,9.753,43.234,64.46,34.84,261.706,2.79,13.775,49.216,66.654,8.334,5.814,55.183,485.842,465.78,44.422,322.402,462.262,319.024,89.698
2,35.695,102.399,181.157,204.1,200.587,212.654,249.601,247.832,326.966,377.847,259.001,9.6,9.668,339.414,284.466,24.372,303.83,558.287,495.423,285.647,12.753,6.649,6.872,13.752,393.233,640.003,693.01,487.64,14.674,16.219,304.118,302.34,19.015,148.703,2.175,13.539,360.869,430.682,9.64,13.265,124.929,55.357,38.312,319.993,394.779,344.469,217.214,53.959
3,38.675,78.308,197.357,191.667,221.687,233.811,245.014,285.678,178.408,0.151,235.897,414.03,444.005,436.465,418.118,434.361,246.661,9.432,8.765,227.827,233.041,10.6,30.2,45.633,36.917,1.7,1.07,2.41,346.841,495.239,487.077,571.28,651.396,455.916,17.235,277.152,268.769,18.58,14.2,13.2,210.703,404.015,414.502,201.503,17.156,157.708,161.473,54.876
4,35.025,127.22,121.709,174.108,211.528,204.836,181.161,224.972,312.965,395.535,269.232,0.44,69.608,20.52,383.45,512.595,483.645,596.568,636.679,564.409,344.081,2.55,9.9,306.203,364.754,13.73,14.872,15.749,439.806,486.747,33.292,43.5,41.14,37.476,479.1,529.586,64.9,185.133,4.88,22.815,125.066,13.534,23.948,116.359,58.962,354.912,382.019,105.49
5,58.462,112.579,162.182,156.982,246.869,234.974,332.874,297.13,169.767,7.567,282.132,486.523,534.997,327.27,41.145,45.69,35.15,25.751,30.958,468.489,642.613,399.089,16.233,464.049,435.701,16.685,17.77,192.386,13.454,12.87,161.951,15.0,13.835,387.798,378.591,48.753,444.63,411.586,18.066,14.88,269.251,269.808,43.094,283.435,404.548,396.118,260.547,56.477
6,59.712,158.749,205.561,217.544,281.716,277.418,283.177,365.919,462.8,508.32,304.5,30.66,143.208,11.032,20.41,33.765,48.495,5.906,258.042,7.547,10.7,40.768,573.099,511.018,27.645,61.552,534.232,917.069,702.184,29.754,235.566,54.876,40.595,25.228,17.05,39.471,17.9,33.904,39.336,35.949,516.971,677.241,696.773,438.412,27.314,6.238,97.025,54.358
7,33.683,86.712,137.272,187.474,185.687,199.005,207.163,275.136,303.835,384.859,406.86,463.773,471.152,476.957,284.277,28.562,425.292,415.579,28.248,16.652,21.989,24.804,2.25,3.85,9.56,188.366,7.853,4.308,10.979,638.804,860.474,544.736,39.648,7.717,496.662,720.678,503.583,38.512,27.53,30.643,157.69,18.029,25.563,285.261,257.439,13.11,142.667,45.826
8,46.618,93.923,130.184,171.279,251.248,320.783,396.872,375.736,381.232,444.361,220.367,0.25,88.309,32.55,388.162,567.058,394.773,21.953,501.038,794.505,501.953,7.2,9.11,20.102,560.725,611.094,35.747,2.558,7.386,46.882,310.119,46.694,25.635,18.936,7.45,5.05,26.094,210.194,44.696,37.065,181.761,27.78,13.19,403.15,594.353,449.002,236.344,85.238
9,84.658,109.529,174.299,219.225,241.472,306.157,354.398,425.678,294.5,15.695,335.539,493.172,672.695,730.912,445.267,62.515,35.88,188.667,36.156,26.697,20.136,166.587,38.742,204.33,24.889,90.888,1011.962,1034.536,85.112,31.925,37.851,20.333,79.313,351.566,62.315,14.703,42.821,353.097,67.581,92.462,246.446,57.536,29.222,184.504,30.811,44.05,290.745,179.135
