,repeat,algorithm,average_run_time,no_iterations,no_households,no_tasks,penalty_weight,cost_function_type,max_demand initial,max_demand final,max_demand reduction,PAR initial,PAR final,PAR reduction,objective initial,objective final,objective reduction,cost initial,cost final,cost reduction
0,0,optimal,850.63,24,5000,5,0,piece-wise,2449363,25155582.0,-9.27,1.22,12.5,-9.246,1641650390.2,186466140772.0,-112.585,1641650390.2,186466140772.0,-112.585
1,0,optimal_fw,0.006,24,5000,5,0,piece-wise,2449363,2163581.50913135,0.117,1.22,1.07,0.123,1641650390.2,1492430078.88,0.091,1641650390.2,1492430078.88,0.091
2,0,heuristic,2.646,17,5000,5,0,piece-wise,2449363,23490260.0,-8.59,1.22,11.67,-8.566,1641650390.2,132330232275.1,-79.608,1641650390.2,132330232275.1,-79.608
3,0,heuristic_fw,0.01,17,5000,5,0,piece-wise,2449363,2143490.086070101,0.125,1.22,1.06,0.131,1641650390.2,1491923313.35,0.091,1641650390.2,1491923313.35,0.091
4,0,optimal,1215.271,27,5000,5,1,piece-wise,2449363,3672134.0,-0.499,1.22,1.82,-0.492,1641650390.2,13520658111.3,-7.236,1641650390.2,13520601462.3,-7.236
5,0,optimal_fw,0.007,27,5000,5,1,piece-wise,2449363,2066197.7919586352,0.156,1.22,1.03,0.156,1641650390.2,1490438162.0003605,0.092,1641650390.2,1490438126.79,0.092
6,0,heuristic,3.157,24,5000,5,1,piece-wise,2449363,17613786.0,-6.191,1.22,8.75,-6.172,1641650390.2,69882030316.9,-41.568,1641650390.2,69878270071.9,-41.566
7,0,heuristic_fw,0.007,24,5000,5,1,piece-wise,2449363,2075918.486285594,0.152,1.22,1.03,0.156,1641650390.2,1490496877.798935,0.092,1641650390.2,1490496747.49,0.092
8,0,optimal,1052.539,18,5000,5,5,piece-wise,2449363,34082503.0,-12.915,1.22,16.93,-12.877,1641650390.2,164502278455.0,-99.205,1641650390.2,164487513550.0,-99.196
9,0,optimal_fw,0.008,18,5000,5,5,piece-wise,2449363,2107962.5609805738,0.139,1.22,1.05,0.139,1641650390.2,1491364768.2865248,0.092,1641650390.2,1491355104.15,0.092
10,0,heuristic,3.3,28,5000,5,5,piece-wise,2449363,5025483.0,-1.052,1.22,2.5,-1.049,1641650390.2,27127598846.9,-15.525,1641650390.2,27126940161.9,-15.524
11,0,heuristic_fw,0.006,28,5000,5,5,piece-wise,2449363,2082627.5805971571,0.15,1.22,1.03,0.156,1641650390.2,1490522928.1305864,0.092,1641650390.2,1490522649.17,0.092
12,0,optimal,885.058,22,5000,5,10,piece-wise,2449363,38653644.0,-14.781,1.22,19.21,-14.746,1641650390.2,113418782588.6,-68.088,1641650390.2,113402396738.6,-68.078
13,0,optimal_fw,0.007,22,5000,5,10,piece-wise,2449363,2101654.6351848952,0.142,1.22,1.04,0.148,1641650390.2,1490958041.4779549,0.092,1641650390.2,1490895738.08,0.092
14,0,heuristic,2.647,25,5000,5,10,piece-wise,2449363,28181023.0,-10.505,1.22,14.0,-10.475,1641650390.2,121012175399.1,-72.714,1641650390.2,120982963159.1,-72.696
15,0,heuristic_fw,0.007,25,5000,5,10,piece-wise,2449363,2085919.930363808,0.148,1.22,1.04,0.148,1641650390.2,1490569165.5411577,0.092,1641650390.2,1490568675.32,0.092
16,0,optimal,824.578,24,5000,5,50,piece-wise,2449363,31832887.0,-11.996,1.22,15.82,-11.967,1641650390.2,90620131718.0,-54.201,1641650390.2,90577732318.0,-54.175
17,0,optimal_fw,0.007,24,5000,5,50,piece-wise,2449363,2087110.974062402,0.148,1.22,1.04,0.148,1641650390.2,1490657278.8803213,0.092,1641650390.2,1490639153.04,0.092
18,0,heuristic,2.454,25,5000,5,50,piece-wise,2449363,4428090.0,-0.808,1.22,2.2,-0.803,1641650390.2,17743954745.9,-9.809,1641650390.2,17740587945.9,-9.807
19,0,heuristic_fw,0.007,25,5000,5,50,piece-wise,2449363,2069265.04417593,0.155,1.22,1.03,0.156,1641650390.2,1490472288.6446521,0.092,1641650390.2,1490469127.25,0.092
20,0,optimal,761.538,23,5000,5,100,piece-wise,2449363,27092722.0,-10.061,1.22,13.46,-10.033,1641650390.2,90041557307.6,-53.848,1641650390.2,89995888507.6,-53.82
21,0,optimal_fw,0.007,23,5000,5,100,piece-wise,2449363,2077375.0320714975,0.152,1.22,1.03,0.156,1641650390.2,1490574791.0666878,0.092,1641650390.2,1490565654.21,0.092
22,0,heuristic,2.161,21,5000,5,100,piece-wise,2449363,4157046.0,-0.697,1.22,2.07,-0.697,1641650390.2,26682979255.7,-15.254,1641650390.2,26674785455.7,-15.249
23,0,heuristic_fw,0.008,21,5000,5,100,piece-wise,2449363,2077164.5567022397,0.152,1.22,1.03,0.156,1641650390.2,1490533323.099616,0.092,1641650390.2,1490518097.28,0.092
24,0,optimal,761.767,10,5000,5,500,piece-wise,2449363,10661915.0,-3.353,1.22,5.3,-3.344,1641650390.2,74344685346.1,-44.287,1641650390.2,74241993346.1,-44.224
25,0,optimal_fw,0.013,10,5000,5,500,piece-wise,2449363,2157249.710577965,0.119,1.22,1.07,0.123,1641650390.2,1493220911.0840664,0.09,1641650390.2,1493111589.87,0.09
26,0,heuristic,2.34,10,5000,5,500,piece-wise,2449363,8007910.0,-2.269,1.22,3.98,-2.262,1641650390.2,65955032959.1,-39.176,1641650390.2,65820457459.1,-39.094
27,0,heuristic_fw,0.013,10,5000,5,500,piece-wise,2449363,2156165.4573449646,0.12,1.22,1.07,0.123,1641650390.2,1495107550.2120008,0.089,1641650390.2,1494979089.7,0.089
