,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,1836.137,1752.105,1501.444,1613.936,1529.681,1471.062,1503.011,1588.789,1664.516,1676.285,1701.71,1783.103,1855.009,1992.394,2104.139,2347.434,2282.496,1949.688,2146.697,2100.674,2041.284,1965.173,2018.84,2098.054,2211.64,2224.572,2190.427,2110.822,2037.373,2174.285,2191.561,2177.534,2262.844,2338.456,2220.311,2283.174,2453.96,2526.951,2369.441,2292.668,2245.34,2107.747,2127.967,2089.945,2064.191,2050.59,1891.895,1549.135
1,6834.31,1157.249,2780.815,724.833,5011.694,8294.685,15103.897,23045.204,708.287,2133.121,6448.312,146.602,279.898,64.631,13.451,1.116,1.512,338.618,41.121,16.395,85.932,1385.045,385.526,22.495,6.699,7.112,10.7,155.954,1001.052,16.421,15.776,29.318,14.289,2.505,113.01,21.119,0.305,0.269,2.635,7.632,4.922,190.376,77.256,46.607,32.005,48.12,770.194,19117.465
2,194.035,634.718,17749.105,24509.798,4823.37,1939.232,27.836,2.129,7107.625,15794.091,690.3,2999.912,1314.642,60.451,41.958,2.081,3.466,676.694,58.626,41.712,114.02,661.462,1273.698,71.25,16.305,19.732,28.494,171.349,1884.766,43.6,57.373,85.817,8.489,7.024,107.615,67.138,0.778,0.724,4.845,28.387,8.12,220.669,87.793,81.092,424.369,2215.873,10290.283,63.644
3,1519.58,6677.196,184.19,6.261,13560.554,27740.347,1335.269,3.383,493.646,26.124,3804.822,8308.211,11718.843,544.02,90.432,3.718,6.634,4777.639,97.084,59.47,213.511,2642.052,777.335,123.893,26.045,23.723,35.214,598.739,1627.071,43.394,60.256,108.82,58.927,11.434,126.749,79.363,1.283,1.009,6.63,33.872,22.73,1685.772,482.949,754.117,5392.227,354.964,27.48,439.508
4,5315.414,9869.207,2398.886,8.532,66.731,15.685,125.529,9.058,10281.313,135.793,17169.095,12544.544,2619.225,8456.041,1457.326,3.516,9.586,720.924,133.547,376.849,6100.501,2118.636,601.546,775.918,22.642,31.854,63.998,405.853,606.71,829.227,205.115,1763.993,53.968,14.835,125.294,89.353,3.007,1.573,13.31,54.189,46.81,792.079,1007.855,5360.345,299.602,1867.707,51.664,1692.105
5,391.33,1496.666,1386.495,19.222,425.076,67.184,12816.307,46.31,3125.99,1439.149,14.258,21.481,156.247,201.786,475.108,14.015,23.562,9900.189,8994.955,7289.081,378.767,1646.286,14971.643,6114.905,94.76,45.311,114.496,1745.533,3239.378,190.554,246.696,743.851,28.265,29.35,288.162,109.615,2.429,2.113,21.071,67.685,82.264,8233.252,5855.948,655.385,257.998,2661.399,389.274,195.689
6,934.991,3495.519,3640.301,64.275,8289.363,71.019,62.872,36.13,1198.194,418.338,9.619,59.059,5046.814,6208.154,5976.329,16.63,62.327,256.646,36.736,461.842,5661.43,5556.92,28.458,129.032,167.151,362.963,9848.981,10984.833,1348.201,6426.46,965.776,338.894,66.272,56.587,1273.442,120.258,4.395,3.236,47.977,89.773,1112.916,38.109,542.428,2632.686,10579.948,1301.215,276.153,406.838
7,3571.977,4281.219,4236.346,61.805,1137.578,39.291,1304.0,64.797,5007.227,8447.595,50.232,52.933,374.452,583.752,763.548,34.942,761.877,831.384,89.526,556.961,491.682,317.484,43.651,11893.924,11026.845,1245.641,32.491,37.438,252.058,88.926,8834.365,2066.82,501.013,42.787,1002.4,196.181,8.411,2.753,70.558,170.478,1307.2,88.2,319.653,200.553,26.353,12260.478,8125.622,3811.083
8,1226.939,930.285,534.2,206.878,3074.018,351.373,1461.708,37.492,6360.316,2777.738,25.654,259.193,613.951,2754.185,7184.31,32.619,178.929,257.852,1348.451,7073.996,5347.399,7518.864,56.784,57.538,208.253,3555.881,36.593,60.107,15854.599,6667.954,1030.776,590.965,660.426,42.24,1232.717,2089.995,7.116,4.976,48.567,2543.629,2053.364,1830.387,2127.664,2375.7,33.324,59.208,2160.314,1771.063
9,3569.454,8070.06,2967.978,107.943,1788.92,266.879,3815.826,341.002,206.778,53.715,24.072,938.788,955.803,699.219,487.892,61.72,3164.513,15817.076,4242.63,1049.936,690.524,902.548,65.389,71.866,1377.936,1495.45,97.715,103.0,39.63,38.202,3991.504,19410.724,5382.439,126.286,822.186,1394.353,14.855,4.235,47.84,2038.663,1697.417,1406.877,1546.436,1751.944,59.167,62.002,1486.401,1960.697
